record_type,N,z,first_x,first_y,offset,ratio
first_x,8126074,2850,3677,8122397,827,1.2901754386
first_x,8269214,2875,4057,8265157,1182,1.41113043478
offset,8269214,2875,4057,8265157,1182,1.41113043478
first_x,9846334,3137,4127,9842207,990,1.31558814154
first_x,10509082,3241,4241,10504841,1000,1.30854674483
first_x,11044732,3323,4259,11040473,936,1.28167318688
first_x,11548688,3398,4297,11544391,899,1.26456739258
first_x,11603476,3406,4349,11599127,943,1.27686435702
first_x,12242492,3498,4621,12237871,1123,1.32104059463
first_x,12757642,3571,4673,12752969,1102,1.30859703164
first_x,14010608,3743,5101,14005507,1358,1.36281057975
offset,14010608,3743,5101,14005507,1358,1.36281057975
first_x,16927418,4114,5167,16922251,1053,1.25595527467
first_x,17329168,4162,5189,17323979,1027,1.24675636713
first_x,17891534,4229,5227,17886307,998,1.23598959565
first_x,18232072,4269,5273,18226799,1004,1.23518388381
first_x,18810508,4337,5279,18805229,942,1.21720083007
first_x,18910886,4348,5347,18905539,999,1.22976080957
first_x,19379942,4402,5413,19374529,1011,1.22966833258
first_x,19511068,4417,5861,19505207,1444,1.32691872312
offset,19511068,4417,5861,19505207,1444,1.32691872312
first_x,22943776,4789,5867,22937909,1078,1.22509918563
first_x,23040638,4800,6217,23034421,1417,1.29520833333
first_x,25662794,5065,6637,25656157,1572,1.31036525173
offset,25662794,5065,6637,25656157,1572,1.31036525173
first_x,30940936,5562,6653,30934283,1091,1.19615246314
first_x,30986728,5566,6689,30980039,1123,1.2017606899
first_x,31390858,5602,6779,31384079,1177,1.21010353445
first_x,31476328,5610,6917,31469411,1307,1.23297682709
first_x,32469874,5698,6977,32462897,1279,1.22446472446
first_x,34261684,5853,7001,34254683,1148,1.19613873227
first_x,35851534,5987,7043,35844491,1056,1.17638216135
first_x,36896074,6074,7127,36888947,1053,1.17336187027
first_x,37061516,6087,7129,37054387,1042,1.17118449154
first_x,37196576,6098,7159,37189417,1061,1.17399147261
first_x,37234024,6101,7187,37226837,1086,1.17800360597
first_x,37641178,6135,7229,37633949,1094,1.17832110839
first_x,38005262,6164,7459,37997803,1295,1.2100908501
first_x,39966194,6321,7477,39958717,1156,1.18288245531
first_x,40198258,6340,7559,40190699,1219,1.19227129338
first_x,41212676,6419,7639,41205037,1220,1.19006075713
first_x,41749328,6461,7687,41741641,1226,1.18975390806
first_x,41902424,6473,7723,41894701,1250,1.19310984088
first_x,42623234,6528,7741,42615493,1213,1.18581495098
first_x,42915146,6550,7753,42907393,1203,1.18366412214
first_x,43051154,6561,7963,43043191,1402,1.21368693797
first_x,46265372,6801,8101,46257271,1300,1.19114836054
first_x,48715904,6979,8221,48707683,1242,1.1779624588
first_x,49214504,7015,8317,49206187,1302,1.18560228083
first_x,50592464,7112,8377,50584087,1265,1.17786839145
first_x,51198172,7155,8513,51189659,1358,1.18979734451
first_x,53944588,7344,8597,53935991,1253,1.17061546841
first_x,54106204,7355,8747,54097457,1392,1.18925900748
first_x,55806994,7470,8963,55798031,1493,1.19986613119
first_x,60253742,7762,8971,60244771,1209,1.15575882505
first_x,60841408,7800,9059,60832349,1259,1.16141025641
first_x,61568266,7846,9437,61558829,1591,1.20277848585
offset,61568266,7846,9437,61558829,1591,1.20277848585
first_x,63134714,7945,9511,63125203,1566,1.19710509755
first_x,67709842,8228,9533,67700309,1305,1.15860476422
first_x,68786216,8293,9619,68776597,1326,1.15989388641
first_x,69218866,8319,9743,69209123,1424,1.17117442
first_x,71759246,8471,9769,71749477,1298,1.1532286625
first_x,73622516,8580,9967,73612549,1387,1.16165501166
first_x,76594864,8751,10067,76584797,1316,1.15038281339
first_x,77998306,8831,10139,77988167,1308,1.14811459631
first_x,78334372,8850,10193,78324179,1343,1.15175141243
first_x,80691806,8982,10273,80681533,1291,1.14373190826
first_x,80872574,8992,10651,80861923,1659,1.18449733096
offset,80872574,8992,10651,80861923,1659,1.18449733096
first_x,84588752,9197,10723,84578029,1526,1.16592367076
first_x,88352962,9399,10739,88342223,1340,1.14256835834
first_x,88788716,9422,10867,88777849,1445,1.15336446614
first_x,90473906,9511,10993,90462913,1482,1.15581957733
first_x,90998146,9539,11087,90987059,1548,1.16228116155
first_x,91905872,9586,11119,91894753,1533,1.15992071771
first_x,94183504,9704,11243,94172261,1539,1.15859439406
first_x,97093826,9853,11257,97082569,1404,1.14249467167
first_x,98188424,9909,11593,98176831,1684,1.16994651327
offset,98188424,9909,11593,98176831,1684,1.16994651327
first_x,103126586,10155,11617,103114969,1462,1.14396848843
first_x,103931012,10194,11689,103919323,1495,1.14665489504
first_x,104332652,10214,11839,104320813,1625,1.15909535931
first_x,104958664,10244,11897,104946767,1653,1.16136274893
first_x,107277598,10357,12149,107265449,1792,1.17302307618
offset,107277598,10357,12149,107265449,1792,1.17302307618
first_x,111264452,10548,12511,111251941,1963,1.18610163064
offset,111264452,10548,12511,111251941,1963,1.18610163064
first_x,118715218,10895,12539,118702679,1644,1.15089490592
first_x,122452006,11065,12653,122439353,1588,1.1435155897
first_x,122604128,11072,12697,122591431,1625,1.1467666185
first_x,130559668,11426,12791,130546877,1365,1.11946437949
first_x,132718646,11520,12967,132705679,1447,1.12560763889
first_x,133625386,11559,13043,133612343,1484,1.12838480837
first_x,138243946,11757,13163,138230783,1406,1.11958833036
first_x,141749648,11905,13171,141736477,1266,1.10634187316
first_x,142430984,11934,13381,142417603,1447,1.12125020949
first_x,142600748,11941,13399,142587349,1458,1.12210032661
first_x,143369266,11973,13457,143355809,1484,1.12394554414
first_x,144903856,12037,13469,144890387,1432,1.1189665199
first_x,148486238,12185,13591,148472647,1406,1.11538777185
first_x,149485972,12226,13709,149472263,1483,1.12129887126
first_x,150754106,12278,13903,150740203,1625,1.13235054569
first_x,154892734,12445,13907,154878827,1462,1.11747689835
first_x,156529022,12511,13921,156515101,1410,1.11270082328
first_x,159800492,12641,13933,159786559,1292,1.10220710387
first_x,159948752,12647,14149,159934603,1502,1.11876334309
first_x,161685548,12715,14251,161671297,1536,1.12080220212
first_x,163121542,12771,14321,163107221,1550,1.12136872602
first_x,164704676,12833,14347,164690329,1514,1.11797709031
first_x,167041568,12924,14431,167027137,1507,1.11660476633
first_x,168579842,12983,14563,168565279,1580,1.12169760456
first_x,168887116,12995,14669,168872447,1674,1.12881877645
first_x,171157622,13082,14821,171142801,1739,1.13293074453
